# DEns     P kb 1.00E+20
  1.230E-03  1.703E+01
  1.514E-03  2.045E+01
  1.862E-03  2.459E+01
  2.291E-03  2.961E+01
  2.818E-03  3.570E+01
  3.467E-03  4.310E+01
  4.266E-03  5.209E+01
  5.248E-03  6.302E+01
  6.457E-03  7.633E+01
  7.943E-03  9.254E+01
  9.772E-03  1.123E+02
  1.202E-02  1.364E+02
  1.479E-02  1.657E+02
  1.820E-02  2.015E+02
  2.239E-02  2.452E+02
  2.754E-02  2.985E+02
  3.388E-02  3.635E+02
  4.169E-02  4.426E+02
  5.129E-02  5.391E+02
  6.310E-02  6.566E+02
  7.762E-02  7.994E+02
  9.550E-02  9.727E+02
  1.175E-01  1.183E+03
  1.445E-01  1.436E+03
  1.778E-01  1.739E+03
  2.188E-01  2.100E+03
  2.692E-01  2.520E+03
  3.311E-01  2.988E+03
  4.074E-01  3.442E+03
  5.012E-01  3.619E+03
  6.166E-01  3.408E+03
  7.586E-01  3.106E+03
  9.333E-01  2.803E+03
  1.148E+00  2.527E+03
  1.413E+00  2.159E+03
  1.738E+00  1.897E+03
  2.138E+00  1.707E+03
  2.630E+00  1.604E+03
  3.236E+00  1.559E+03
  3.981E+00  1.553E+03
  4.898E+00  1.582E+03
  6.026E+00  1.640E+03
  7.413E+00  1.729E+03
  9.120E+00  1.849E+03
  1.122E+01  2.007E+03
  1.380E+01  2.209E+03
  1.698E+01  2.464E+03
  2.089E+01  2.787E+03
  2.570E+01  3.193E+03
  3.162E+01  3.709E+03
  3.890E+01  4.363E+03
  4.786E+01  5.194E+03
  5.888E+01  6.249E+03
  7.244E+01  7.578E+03
  8.913E+01  9.234E+03
  1.096E+02  1.127E+04
  1.349E+02  1.373E+04
  1.660E+02  1.668E+04
  2.042E+02  2.016E+04
  2.512E+02  2.425E+04
  3.090E+02  2.904E+04
  3.802E+02  3.464E+04
  4.677E+02  4.120E+04
  5.754E+02  4.888E+04
  7.079E+02  5.791E+04
  8.710E+02  6.855E+04
  1.072E+03  8.112E+04
  1.318E+03  9.601E+04
  1.622E+03  1.137E+05
  1.995E+03  1.348E+05
  2.455E+03  1.600E+05
  3.020E+03  1.902E+05
  3.715E+03  2.266E+05
  4.571E+03  2.704E+05
  5.623E+03  3.233E+05
  6.918E+03  3.875E+05
  8.511E+03  4.655E+05
  1.047E+04  5.605E+05
  1.288E+04  6.765E+05
  1.585E+04  8.185E+05
  1.950E+04  9.926E+05
  2.399E+04  1.206E+06
  2.951E+04  1.470E+06
  3.631E+04  1.794E+06
  4.467E+04  2.194E+06
  5.495E+04  2.687E+06
  6.761E+04  3.297E+06
  8.318E+04  4.051E+06
  1.023E+05  4.984E+06
  1.259E+05  6.138E+06
  1.549E+05  7.565E+06
  1.905E+05  9.329E+06
  2.344E+05  1.151E+07
  2.884E+05  1.419E+07
  3.548E+05  1.750E+07
  4.365E+05  2.155E+07
  5.370E+05  2.648E+07
  6.607E+05  3.251E+07
  8.128E+05  3.982E+07
  1.000E+06  4.866E+07
